표준코드,단축코드,한글 종목명,한글 종목약명,영문 종목명,상장일,시장구분,증권구분,소속부,주식종류,액면가,상장주식수
KR7377450002,377450,리파인,리파인,"REFINE Co., Ltd",2021.10.29,KOSDAQ,주권,중견기업부,보통주,100,17330000
KR7029480001,29480,릭스솔루션,릭스솔루션,"Lix Solution Co.,Ltd.",1996.8.27,KOSDAQ,주권,중견기업부,보통주,100,90822795
KR7277070009,277070,린드먼아시아인베스트먼트,린드먼아시아,Lindeman Asia Investment Corporation,2018.3.14,KOSDAQ,주권,중견기업부,보통주,500,13657000
KR7042500009,42500,링네트,링네트,"RingNet Co., Ltd.",2002.1.10,KOSDAQ,주권,우량기업부,보통주,500,15356878
KR7219420007,219420,링크제니시스,링크제니시스,"Linkgenesis Co., Ltd.",2018.2.5,KOSDAQ,주권,기술성장기업부,보통주,100,11469507
KR7027740000,27740,마니커보통주,마니커,MANIKER,2002.10.29,KOSPI,주권,,보통주,500,39694518
KR7195500004,195500,마니커에프앤지,마니커에프앤지,Maniker F&G,2019.8.20,KOSDAQ,주권,중견기업부,보통주,500,15768000
KR7222810004,222810,마이더스AI,마이더스AI,"Midas AI Co.,Ltd.",2015.8.13,KOSDAQ,주권,관리종목(소속부없음),보통주,100,145000878
KR7305090003,305090,마이크로디지탈,마이크로디지탈,"Micro Digital Co., Ltd.",2019.6.5,KOSDAQ,주권,기술성장기업부,보통주,500,7261600
KR7147760003,147760,마이크로프랜드,마이크로프랜드,Micro Friend Inc.,2016.12.12,KOSDAQ,주권,벤처기업부,보통주,500,10819866
KR7169330008,169330,마크로밀엠브레인,엠브레인,"Macromill Embrain Co., Ltd.",2020.7.1,KOSDAQ,주권,중견기업부,보통주,500,8968459
KR7038290003,38290,마크로젠,마크로젠,"Macrogen, Inc.",2000.2.22,KOSDAQ,주권,우량기업부,보통주,500,10715551
KR7204320006,204320,만도보통주,만도,Mando Corporation,2014.10.6,KOSPI,주권,,보통주,1000,46957120
KR7001080001,1080,만호제강보통주,만호제강,ManhoRope&Wire,1977.6.18,KOSPI,주권,,보통주,1000,4150000
KR7220630008,220630,맘스터치앤컴퍼니,맘스터치,MOM'S TOUCH&Co.,2015.8.28,KOSDAQ,주권,우량기업부,보통주,100,101817531
KR7267980001,267980,매일유업,매일유업,"Maeil Dairies Co., Ltd.",2017.6.5,KOSDAQ,주권,우량기업부,보통주,500,7843638
KR7005990007,5990,매일홀딩스,매일홀딩스,"MAEIL HOLDINGS CO., LTD.",1999.5.14,KOSDAQ,주권,우량기업부,보통주,500,13718304
KR7127160000,127160,매직마이크로,매직마이크로,"MAGICMICRO CO.,LTD",2015.11.19,KOSDAQ,주권,관리종목(소속부없음),보통주,100,86623501
KR7093520005,93520,매커스,매커스,"MAKUS, Inc.",2007.2.12,KOSDAQ,주권,중견기업부,보통주,500,16163092
KR7377030002,377030,맥스트,맥스트,"MAXST CO., LTD",2021.7.27,KOSDAQ,주권,기술성장기업부,보통주,500,8542491
KR7088980008,88980,맥쿼리한국인프라투융자회사 보통주,맥쿼리인프라,Macquarie Korea Infrastructure Fund,2006.3.15,KOSPI,사회간접자본투융자회사,,보통주,무액면,404845547
KR7100590009,100590,머큐리,머큐리,Mercury Corporation,2018.12.14,KOSDAQ,주권,우량기업부,보통주,500,14763600
KR7067280008,67280,멀티캠퍼스,멀티캠퍼스,Multicampus Corporation,2006.11.16,KOSDAQ,주권,우량기업부,보통주,500,5926779
KR7072870009,72870,메가스터디,메가스터디,"MegaStudy Co., Ltd.",2004.12.21,KOSDAQ,주권,중견기업부,보통주,500,11920959
KR7215200007,215200,메가스터디교육,메가스터디교육,MegaStudyEdu Co. Ltd,2015.5.4,KOSDAQ,주권,우량기업부,보통주,100,11861880
KR7133750000,133750,메가엠디,메가엠디,"MegaMD Co., Ltd.",2015.12.18,KOSDAQ,주권,중견기업부,보통주,500,23407077
KR7235980000,235980,메드팩토,메드팩토,"MedPacto, Inc.",2019.12.19,KOSDAQ,주권,기술성장기업부,보통주,500,20510342
KR7200580009,200580,메디쎄이,메디쎄이,MEDYSSEY,2015.10.20,KONEX,주권,일반기업부,보통주,500,3726079
KR7041920000,41920,메디아나,메디아나,"MEDIANA Co.,LTD",2014.10.7,KOSDAQ,주권,우량기업부,보통주,500,16000000
KR7233250000,233250,메디안디노스틱,메디안디노스틱,Median Diagnostics,2017.6.26,KONEX,주권,일반기업부,보통주,500,1746534
KR7014100002,14100,메디앙스,메디앙스,"Medience Co., LTD.",1995.1.3,KOSDAQ,주권,투자주의환기종목(소속부없음),보통주,500,11800000
KR7236340006,236340,메디젠휴먼케어,메디젠휴먼케어,Medizen Humancare,2016.1.26,KONEX,주권,일반기업부,보통주,500,2405381
KR7054180005,54180,메디콕스,메디콕스,"MEDICOX Co., Ltd.",2001.10.16,KOSDAQ,주권,중견기업부,보통주,500,93373338
KR7086900008,86900,메디톡스,메디톡스,Medy-Tox Inc.,2009.1.16,KOSDAQ,주권,우량기업부,보통주,500,6254384
KR7078160009,78160,메디포스트,메디포스트,"MEDIPOST CO., LTD.",2005.7.29,KOSDAQ,주권,벤처기업부,보통주,500,16264194
KR7065650004,65650,메디프론디비티,메디프론,"Medifron DBT Co., Ltd.",2003.1.21,KOSDAQ,주권,중견기업부,보통주,500,43615959
KR7138040001,138040,메리츠금융지주회사보통주,메리츠금융지주,Meritz Financial Group,2011.5.13,KOSPI,주권,,보통주,500,134011294
KR7008560005,8560,메리츠증권보통주,메리츠증권,MERITZ SECURITIES,1992.1.15,KOSPI,주권,,보통주,1000,681730579
KR7000060004,60,메리츠화재해상보험보통주,메리츠화재,Meritz Fire & Marine Insurance,1956.7.2,KOSPI,주권,,보통주,500,120625000
KR7021880000,21880,메이슨캐피탈,메이슨캐피탈,MASON CAPITAL CORPORATION,1996.9.2,KOSDAQ,주권,중견기업부,보통주,500,151184408
KR7140410002,140410,메지온,메지온,"Mezzion Pharma Co., Ltd.",2012.1.20,KOSDAQ,주권,중견기업부,보통주,500,8900206
KR7241770007,241770,메카로,메카로,"MECARO.CO.,LTD.",2017.12.6,KOSDAQ,주권,투자주의환기종목(소속부없음),보통주,500,10192640
KR7090370008,90370,메타랩스보통주,메타랩스,METALABS,2006.12.26,KOSPI,주권,,보통주,500,66336315
KR7059210005,59210,메타바이오메드,메타바이오메드,"META BIOMED.CO.,LTD",2008.4.15,KOSDAQ,주권,벤처기업부,보통주,500,23862351
KR7058110008,58110,멕아이씨에스,멕아이씨에스,"MEKICS Co.,Ltd.",2015.12.14,KOSDAQ,주권,기술성장기업부,보통주,500,16050530
KR7096640008,96640,멜파스,멜파스,Melfas Inc.,2009.12.18,KOSDAQ,주권,관리종목(소속부없음),보통주,500,37711371
KR7017180001,17180,명문제약 보통주,명문제약,MyungMoon Pharm,2008.7.10,KOSPI,주권,,보통주,500,33953454
KR7257370007,257370,명성티엔에스,명성티엔에스,"Mstns Co.,Ltd.",2018.9.13,KOSDAQ,주권,투자주의환기종목(소속부없음),보통주,500,6440809
KR7009900002,9900,명신산업보통주,명신산업,MYOUNG SHIN INDUSTRY,2020.12.7,KOSPI,주권,,보통주,500,52470133
KR7267060002,267060,명진홀딩스,명진홀딩스,Myungjin Holdings,2017.8.24,KONEX,주권,일반기업부,보통주,500,9141804
KR7012690004,12690,모나리자보통주,모나리자,Monalisa,1988.10.14,KOSPI,주권,,보통주,500,36571255
KR7005360003,5360,모나미보통주,모나미,Monami,1974.6.26,KOSPI,주권,,보통주,1000,18897307
KR7080420003,80420,모다이노칩,모다이노칩,"Moda-InnoChips Co., Ltd.",2005.12.6,KOSDAQ,주권,우량기업부,보통주,500,79721622
KR7080160005,80160,모두투어네트워크,모두투어,MODETOUR NETWORK INC.,2005.7.26,KOSDAQ,주권,중견기업부,보통주,500,18900000
KR7204210009,204210,모두투어리츠보통주,모두투어리츠,MODETOURREIT,2016.9.22,KOSPI,부동산투자회사,,보통주,5000,7826815
KR7100030006,100030,모바일리더,모바일리더,"Mobileleader Co., Ltd.",2010.5.25,KOSDAQ,주권,중견기업부,보통주,500,3283714
KR7087260006,87260,모바일어플라이언스,모바일어플라이언스,"MOBILE APPLIANCE, INC.",2017.2.24,KOSDAQ,주권,벤처기업부,보통주,500,32462446
KR7101330009,101330,모베이스,모베이스,"MOBASE Co., Ltd.",2010.2.4,KOSDAQ,주권,중견기업부,보통주,500,23958188
KR7012860003,12860,모베이스전자,모베이스전자,"MOBASE ELECTRONICS CO.,LTD.",1994.10.26,KOSDAQ,주권,중견기업부,보통주,500,65803117
KR7348030008,348030,모비릭스,모비릭스,MOBIRIX Corporation,2021.1.28,KOSDAQ,주권,중견기업부,보통주,100,9304000
KR7250060001,250060,모비스,모비스,"Mobiis Co., Ltd.",2016.9.8,KOSDAQ,주권,기술성장기업부,보통주,100,32171314
KR7033200007,33200,모아텍,모아텍,"MOATECH CO., LTD.",1997.10.13,KOSDAQ,주권,중견기업부,보통주,500,14331185
KR7009680000,9680,모토닉보통주,모토닉,MOTONIC,1994.1.14,KOSPI,주권,,보통주,500,33000000
KR7118990001,118990,모트렉스,모트렉스,"MOTREX CO.,LTD",2017.8.4,KOSDAQ,주권,중견기업부,보통주,100,40788772
KR7006920003,6920,모헨즈,모헨즈,"Mohenz. Co., Ltd",1989.1.5,KOSDAQ,주권,중견기업부,보통주,500,10920000
KR7001810001,1810,무림에스피,무림SP,"MOORIM SP CO., LTD.",2000.1.4,KOSDAQ,주권,우량기업부,보통주,500,22137500
KR7009200007,9200,무림페이퍼보통주,무림페이퍼,MOORIM PAPER,1990.6.9,KOSPI,주권,,보통주,2500,41609310
KR7009580002,9580,무림피앤피보통주,무림P&P,Moorim P&P,1989.6.20,KOSPI,주권,,보통주,2500,62368324
KR7322970005,322970,무진메디,무진메디,Moogene Medi,2020.6.24,KONEX,주권,일반기업부,보통주,500,6779378
KR7033920000,33920,무학보통주,무학,Muhak,2010.7.20,KOSPI,주권,,보통주,200,28500000
KR7008420002,8420,문배철강보통주,문배철강,MoonbaeSteel,1994.11.5,KOSPI,주권,,보통주,500,20503505
KR7279600001,279600,미디어젠,미디어젠,"MediaZen,Inc.",2019.11.5,KOSDAQ,주권,기술성장기업부,보통주,500,4684781
KR7095500005,95500,미래나노텍,미래나노텍,"MNTECH Co.,Ltd.",2007.10.1,KOSDAQ,주권,우량기업부,보통주,500,28816529
KR7025560004,25560,미래산업보통주,미래산업,MiraeCorporation,1996.11.22,KOSPI,주권,,보통주,500,4452007
KR7218150001,218150,미래생명자원,미래생명자원,"MILAE BIORESOURCES CO., LTD.",2015.6.18,KOSDAQ,주권,벤처기업부,보통주,100,18671428
KR7007120009,7120,미래아이앤지보통주,미래아이앤지,MiraeING,1999.11.26,KOSPI,주권,,보통주,100,129484148
KR7353490006,353490,미래에셋대우기업인수목적 5호,미래에셋대우스팩 5호,MIRAE ASSET DAEWOO SPECIAL PURPOSE ACQUISITION 5 COMPANY,2020.8.28,KOSDAQ,주권,SPAC(소속부없음),보통주,100,5060000
KR7328380001,328380,미래에셋대우기업인수목적3호,미래에셋대우스팩3호,MIRAE ASSET DAEWOO SPECIAL PURPOSE ACQUISITION 3 COMPANY,2019.8.20,KOSDAQ,주권,SPAC(소속부없음),보통주,100,6482000
KR7357250000,357250,미래에셋맵스리츠보통주,미래에셋맵스리츠,Miraeasset Maps REIT 1,2020.8.5,KOSPI,부동산투자회사,,보통주,1000,20100000
KR7094800000,94800,미래에셋맵스아시아퍼시픽부동산공모1호,맵스리얼티1,MIRAEASSETMAPS ASIAPACIFIC REAL ESTATE 1,2007.4.9,KOSPI,투자회사,,보통주,무액면,92834331
KR7100790005,100790,미래에셋벤처투자,미래에셋벤처투자,"Mirae Asset Venture Investment Co., Ltd",2019.3.15,KOSDAQ,주권,중견기업부,보통주,1000,46195823
KR7085620003,85620,미래에셋생명보험보통주,미래에셋생명,"MIRAE ASSET Life Insurance CO., Ltd.",2015.7.8,KOSPI,주권,,보통주,5000,177016189
KR7006801005,6805,미래에셋증권1우선주,미래에셋증권우,MIRAE ASSET SECURITIES(1P),1989.4.8,KOSPI,주권,,구형우선주,5000,14075750
KR700680K019,00680K,미래에셋증권2우선주(신형),미래에셋증권2우B,MIRAE ASSET SECURITIES(2PB),2018.3.14,KOSPI,주권,,신형우선주,5000,140000000
KR7006800007,6800,미래에셋증권보통주,미래에셋증권,MIRAE ASSET SECURITIES,1975.9.30,KOSPI,주권,,보통주,5000,635316408
KR7208890004,208890,미래엔에듀파트너,미래엔에듀파트너,"MiraeN Edupartner Co., Ltd.",2014.12.18,KONEX,주권,일반기업부,보통주,1000,3150820
KR7049950009,49950,미래컴퍼니,미래컴퍼니,meerecompany Incorporated,2005.1.4,KOSDAQ,주권,우량기업부,보통주,500,8362306
KR7207760000,207760,미스터블루,미스터블루,Mr. Blue Corporation,2014.12.12,KOSDAQ,주권,중견기업부,보통주,100,24761635
KR7225850007,225850,미애부,미애부,Miev,2015.12.8,KONEX,주권,일반기업부,보통주,500,4998499
KR7002840007,2840,미원상사보통주,미원상사,MiwonCommercial,1989.9.25,KOSPI,주권,,보통주,500,4970000
KR7268280005,268280,미원스페셜티케미칼보통주,미원에스씨,Miwon Specialty Chemical,2017.5.22,KOSPI,주권,,보통주,500,5100000
KR7107590002,107590,미원홀딩스 보통주,미원홀딩스,"Miwon Holdings Co.,Ltd.",2009.3.2,KOSPI,주권,,보통주,500,2320000
KR7134380005,134380,미원화학보통주,미원화학,Miwon Chemicals,2011.2.15,KOSPI,주권,,보통주,1000,2199268
KR7003650009,3650,미창석유공업보통주,미창석유,MichangOilInd,1989.9.27,KOSPI,주권,,보통주,5000,1739672
KR7059090001,59090,미코,미코,MiCo Ltd.,2002.1.15,KOSDAQ,주권,우량기업부,보통주,500,32786725
KR7214610008,214610,미코바이오메드,미코바이오메드,"MiCo BioMed Co., Ltd.",2020.10.22,KOSDAQ,주권,기술성장기업부,보통주,500,18291100
KR7201490000,201490,미투온,미투온,"Me2on Co., Ltd",2016.10.10,KOSDAQ,주권,중견기업부,보통주,500,31257770
KR8344390008,950190,미투젠,미투젠,ME2ZEN Limited,2020.8.18,KOSDAQ,주식예탁증권,외국기업(소속부없음),보통주,무액면,13579892
KR7214180002,214180,민앤지,민앤지,"Minwise Co.,Ltd.",2015.6.30,KOSDAQ,주권,우량기업부,보통주,500,13257185
KR7155900004,155900,바다로19호선박투자회사,바다로19호,Badaro No.19 Ship Investment Company,2012.6.29,KOSPI,선박투자회사,,보통주,5000,15200004
KR7206640005,206640,바디텍메드,바디텍메드,Boditech Med Inc.,2014.12.29,KOSDAQ,주권,우량기업부,보통주,1000,23486560
KR7018700005,18700,바른손,바른손,Barunson,1994.3.18,KOSDAQ,주권,중견기업부,보통주,1000,29471487
KR7035620004,35620,바른손이앤에이,바른손이앤에이,Barunson Entertainment & Arts Corporation,1999.8.13,KOSDAQ,주권,중견기업부,보통주,500,73488503
